latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
45.847012,25.8644077,275541683,SCOALA BORDENI,,,,0
44.3781103,25.9421204,275592220,,,,,102044
44.4014674,25.9069226,275644567,SCOALA MARE,,,,102589
44.4027368,25.9030087,275644592,SCOALA MICA,,,,102589
45.7508228,22.9092874,277762725,SCOALA GENERALA NR 4,,,,86829
45.704391,24.1107014,297889587,,,,,143753
45.4335264,28.585203,298843856,SCOALA GENERALA NR 24,,,,0
45.6127881,25.6688992,303080036,,,,,40447
44.4579108,26.798257,303325511,COLEGIUL NATIONAL DE INFORMATICA TUDOR VIANU,,,,0
45.9010974,25.7756385,304602593,,,,,64924
45.1673239,25.5428359,304665454,,,,,66367
45.8987617,25.5375789,308400093,SCOALA GENERALA,,,,41391
44.4567448,26.3364387,308738489,SCOALA GIMNAZIALA NR 1 BRANESTI,,147,Strada Sublocotenent Petre Ionel,101305
44.1089448,24.3420473,311022944,SCOALA GENERALA NR 5 GHEORGHE MAGHERU CARACAL,,,,125481
45.7562326,22.9029345,316228226,SCOALA GENERALA NR 6,,1,Piata Florilor,86829
47.1732727,27.5694686,316394639,COLEGIUL NATIONAL COSTACHE NEGRUZZI,,,,95079
44.1173891,24.3539859,316480985,LICEUL IONITA ASAN,,,,125481
46.145817,22.3605182,317308796,,,,,0
47.1800929,27.6927157,318704395,,,,,95195
46.2207614,24.7929104,321978593,,,,,114523
47.1284529,24.4837443,324742979,SCOALA GENERALA NR 1,,,,32401
47.1071302,27.7154062,325917049,SCOALA GORUNI,,,,95328
46.2327464,24.8212992,329663566,ZAHARIA BOIU,,,,114523
47.1504572,27.5814881,335640850,LICEUL TEORETIC DIMITRIE CANTEMIR,,,Aleea Decebal,95079
47.1665508,27.5985132,336595894,SCOALA B P HASDEU,,,,95079
47.2408553,27.692146,336605034,SCOALA GOLAIESTI,,,,97107
47.1529632,27.5770813,339817078,SCOALA GENERALA NR 21 ION NECULCE,,,,95079
45.763113,22.9061234,343217111,SCOALA GENERALA NR 7,,7,Strada Moldova,86829
45.7654422,22.9072838,343217113,SCOALA GENERALA NR 8,,2,Strada Cerbului,86829
46.1820899,21.3289971,344315508,IULIU MANIU,,,,9271
45.6343186,25.6055025,353100900,SCOALA NR 25,,24,Bulevardul Valea Cetatii,40205
47.6450223,26.2507273,353194508,SCOALA GENERALA 3,,38,Strada Marasesti,146272
47.6413097,26.2389341,353210485,,,,,146272
45.759131,22.9058184,355216684,SCOALA GENERALA NR 1,,14,Bulevardul Ion Corvin,86829
45.7568589,22.9093512,358469494,SCOALA GENERALA NR 3,,,,86829
45.7644464,22.9131497,359096315,SCOALA GENERALA NR 2,,1,Strada Luncii,86829
45.7581609,22.9177145,359099990,SCOALA GENERALA NR 10,,6,Intrarea Spicului,86829
44.4186388,26.1706764,360027079,SCOALA GENERALA NR 200,,,,179169
47.3049711,24.3533372,364070465,,,,,34404
44.1106453,24.3503864,365326677,SCOALA GENERALA NR 2 CARACAL,,,,125481
44.1158449,24.3577463,365332449,SCOALA NR 6 CARACAL,,11,Strada Vasile Alecsandri,125481
47.1564819,27.5683549,366713186,SCOALA GENERALA NR 16 MIRCEA CEL BATRAN,,,,95079
46.9892602,28.538974,383428554,SCOALA GROZESTI,,,,0
47.8598567,26.6344122,385470156,SCOALA NICSENI,,,,38465
