COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
5120750,1261103993,,121315531,54975,54984,1261103993,CLUJ,46.7673208,23.597823962049,2,"LICEUL DE COREGRAFIE ȘI ARTĂ DRAMATICĂ ""OCTAVIAN STROIA"" CLUJ-NAPOCA",LICEUL DE COREGRAFIE SI ARTA DRAMATICA OCTAVIAN STROIA CLUJ NAPOCA,CLUJ-NAPOCA,237518108,0,0,Turzii,
4244717,3361102678,,691940,146628,146637,3361102678,SUCEAVA,,,18,"SCOALA GIMNAZIALA ""REGINA ELISABETA"" RADAUTI",SCOALA GENERALA REGINA ELISABETA RADAUTI,RĂDĂUŢI,,0,0,STEFAN CEL MARE,
,1062103381,1061104206,,48227,48236,1062103381,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL COMUNA PĂNĂTĂU,GRADINITA CU PROGRAM NORMAL COMUNA PANATAU,PĂNĂTĂU,,0,0,,
,1662101049,1661101913,,73736,73763,1662101049,DOLJ,43.9106105633452,23.1189207915934,,SCOALA GIMNAZIALA TUNARII VECHI,SCOALA GENERALA TUNARII VECHI,TUNARII VECHI,,ȘCOALA GENERALĂ TUNARII VECHI,100,,
4253715,3461101029,,1182659,151683,151692,3461101029,TELEORMAN,43.7562643899185,24.8708861186483,2,"COLEGIUL TEHNIC ""G-RAL D. PRAPORGESCU"" TURNU MĂGURELE",COLEGIUL TEHNIC G RAL D PRAPORGESCU TURNU MAGURELE,TURNU MĂGURELE,,"COLEGIUL TEHNIC ""G-RAL D. PRAPORGESCU""",82,TABEREI,
,0762102259,0761105131,,35731,35740,0762102259,BOTOŞANI,,,26,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,BOTOŞANI,,0,0,ION PILLAT,
29126164,3561101466,,1260968,155243,155252,3561101466,TIMIŞ,45.7363498501783,21.2024663032641,10A,LICEUL TEOLOGIC PENTICOSTAL LOGOS MUN.TIMISOARA,LICEUL TEOLOGIC PENTICOSTAL LOGOS MUN TIMISOARA,TIMIŞOARA,,LICEUL TEOLOGIC PENTICOSTAL LOGOS,83,Str. Transilvania,
,2662103098,2661105304,,118575,118628,2662103098,MUREŞ,46.4950851256556,24.3199860075562,88,GRĂDINIȚA CU PROGRAM NORMAL VAIDEIU,GRADINITA CU PROGRAM NORMAL VAIDEIU,VAIDEIU,,GRĂDINIȚA CU PROGRAM NORMAL VAIDEIU,100,PRINCIPALA,
,0662102957,0661103601,371722,32483,32492,0662102957,BISTRIŢA-NĂSĂUD,,,6,"GRĂDINIȚA CU PROGRAM NORMAL ""1 IUNIE"" BECLEAN",GRADINITA CU PROGRAM NORMAL 1 IUNIE BECLEAN,BECLEAN,,0,0,Șieului,
27981947,4061102386,,766513,179132,179150,4061102386,MUNICIPIUL BUCUREŞTI,44.4659373,26.13383,5,Grădiniţa nr. 137,GRADINITA NR 137,BUCUREŞTI SECTORUL 2,2839280135,0,0,Plumbuita,
